                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1054,                 2.3415,                 1.4975,                0.70557,                0.34856,                0.45689,                 0.3096,                 1.2274,                 2.1712,                 2.0934,              0.0072775,              0.0072775,              0.0072775
                     24,                 1.0729,                   2.26,                 1.4657,                0.55228,                0.43788,                0.44443,                0.29929,                 1.2807,                 2.2898,                 2.0038,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.0814,                 2.2618,                 1.4958,                0.60864,                0.38715,                0.40634,                0.28844,                 1.1528,                 2.1047,                 1.9118,                0.00703,                0.00703,                0.00703
                     26,                 1.1151,                 2.2807,                 1.4955,                0.64277,                0.38157,                0.40688,                0.28502,                 1.2967,                 2.2021,                 1.9754,              0.0069063,              0.0069063,              0.0069063
                     27,                 1.0475,                 2.1783,                 1.4548,                0.38195,                0.41563,                0.42186,                0.29834,                 1.1351,                 2.3156,                 1.9407,              0.0067825,              0.0067825,              0.0067825
                     28,                   1.04,                 2.1498,                 1.4394,                0.34953,                0.53278,                0.43643,                0.29693,                 1.1999,                 2.2401,                 1.9309,              0.0066587,              0.0066587,              0.0066587
                     29,                 1.0361,                 2.1829,                  1.438,                0.58019,                0.45517,                0.47938,                0.32873,                 1.2717,                  2.307,                 2.0646,               0.006535,               0.006535,               0.006535
                     30,                 1.0297,                 2.1373,                 1.4408,                0.50097,                0.44509,                0.45608,                0.31276,                 1.2137,                 2.1902,                 1.9528,              0.0064112,              0.0064112,              0.0064112
                     31,                 1.0163,                 2.0263,                 1.4239,                0.44185,                0.38506,                0.45274,                  0.318,                 1.1704,                 2.1249,                 1.9894,              0.0062875,              0.0062875,              0.0062875
                     32,                0.98719,                 1.9522,                 1.4092,                0.35883,                0.45482,                 0.4132,                0.28693,                 1.1365,                 2.2227,                 1.9013,              0.0061637,              0.0061637,              0.0061637
                     33,                0.98636,                 1.9507,                 1.4028,                0.52378,                0.36487,                0.42292,                 0.2926,                 1.1545,                 2.1885,                 1.9093,                0.00604,                0.00604,                0.00604
                     34,                0.95074,                  1.867,                 1.3735,                0.54551,                0.39326,                0.42415,                0.31102,                  1.165,                  2.319,                 1.9872,              0.0059163,              0.0059163,              0.0059163
                     35,                0.96588,                  1.843,                  1.378,                0.57592,                0.43674,                 0.4517,                0.31738,                 1.1052,                 2.2837,                 1.8288,              0.0057925,              0.0057925,              0.0057925
                     36,                0.94424,                 1.8474,                 1.3428,                0.49692,                0.45715,                0.46248,                0.33712,                 1.0842,                 2.2172,                 1.8512,              0.0056688,              0.0056688,              0.0056688
                     37,                0.98261,                 1.8276,                 1.3856,                0.49217,                0.42018,                0.45555,                0.31128,                 1.1312,                 2.3114,                 1.8775,               0.005545,               0.005545,               0.005545
                     38,                0.92133,                 1.8149,                 1.3632,                 0.5455,                0.42799,                0.49019,                 0.3268,                  1.185,                 2.1949,                 1.8662,              0.0054212,              0.0054212,              0.0054212
                     39,                0.93114,                  1.816,                 1.3927,                0.56562,                0.46023,                0.54071,                0.35899,                 1.2033,                 1.9979,                 1.8221,              0.0052975,              0.0052975,              0.0052975
                     40,                0.92504,                 1.7798,                 1.3368,                0.65629,                0.40609,                0.52022,                0.35303,                 1.3549,                  2.229,                 1.8956,              0.0051737,              0.0051737,              0.0051737
                     41,                0.94726,                 1.7757,                 1.3565,                0.80025,                0.41967,                0.53476,                0.39446,                 1.0642,                 1.7594,                 1.7559,                0.00505,                0.00505,                0.00505
                     42,                 0.8913,                   1.69,                 1.3396,                0.51793,                0.43515,                 0.5048,                0.36353,                 1.0814,                 1.7303,                 1.7359,              0.0049263,              0.0049263,              0.0049263
                     43,                0.94435,                 1.6908,                 1.3801,                 0.5343,                0.51407,                0.52894,                0.36577,                 1.1287,                 1.6603,                 1.8227,              0.0048025,              0.0048025,              0.0048025
                     44,                0.89786,                 1.6786,                 1.3262,                0.62795,                 0.5084,                0.53999,                0.38051,                 1.1353,                 1.6386,                  1.817,              0.0046788,              0.0046788,              0.0046788
                     45,                0.93541,                 1.6901,                 1.3731,                0.62957,                0.47839,                0.50711,                0.36352,                 1.0917,                 1.8264,                 1.7937,               0.004555,               0.004555,               0.004555
                     46,                0.85838,                 1.5979,                 1.3089,                0.50562,                0.52363,                0.53435,                0.38447,                 1.0416,                 1.9135,                 1.7321,              0.0044313,              0.0044313,              0.0044313
                     47,                0.87641,                 1.5756,                 1.3196,                0.40432,                0.54175,                0.49024,                0.36854,                 1.0452,                 1.8851,                 1.7138,              0.0043075,              0.0043075,              0.0043075
                     48,                0.84291,                 1.5316,                 1.2845,                0.38806,                 0.5456,                 0.4738,                0.35514,                 1.0806,                 1.8601,                 1.7121,              0.0041837,              0.0041837,              0.0041837
                     49,                0.89852,                 1.5763,                 1.3464,                0.42972,                 0.5134,                0.50941,                 0.3814,                 1.0893,                 1.7956,                 1.7109,                0.00406,                0.00406,                0.00406
                     50,                0.86837,                 1.5488,                 1.3172,                0.85173,                0.34933,                0.49303,                0.36488,                 1.1031,                 1.7578,                 1.7697,              0.0039362,              0.0039362,              0.0039362
                     51,                0.84654,                 1.4948,                 1.2918,                 0.6169,                0.43459,                0.53112,                0.37727,                 1.1298,                 1.7538,                 1.7762,              0.0038125,              0.0038125,              0.0038125
                     52,                0.86403,                  1.478,                 1.2844,                 0.5408,                  0.464,                 0.4947,                0.35621,                 1.1266,                 2.0145,                 1.7866,              0.0036888,              0.0036888,              0.0036888
                     53,                0.81396,                 1.4522,                 1.2698,                0.39722,                0.52157,                0.52442,                0.38258,                 1.1012,                 1.7515,                 1.7649,               0.003565,               0.003565,               0.003565
                     54,                0.82073,                 1.4615,                 1.2853,                0.46222,                0.46259,                0.51809,                0.39409,                 1.0994,                 1.5989,                 1.7687,              0.0034413,              0.0034413,              0.0034413
                     55,                0.84433,                 1.4215,                 1.2836,                0.46157,                0.52652,                0.55885,                0.41238,                 1.0724,                 1.5733,                 1.7498,              0.0033175,              0.0033175,              0.0033175
                     56,                0.78303,                 1.3602,                 1.2465,                0.50628,                0.53653,                0.56191,                0.41187,                 1.0507,                 1.5363,                 1.7191,              0.0031938,              0.0031938,              0.0031938
                     57,                0.80406,                 1.3817,                 1.2678,                0.64573,                 0.4853,                0.55786,                 0.4204,                 1.0818,                 1.5288,                 1.7776,                0.00307,                0.00307,                0.00307
                     58,                0.82781,                 1.3966,                 1.2655,                0.48583,                0.50709,                0.54636,                0.39417,                 1.1289,                 1.5961,                 1.7882,              0.0029462,              0.0029462,              0.0029462
                     59,                0.78823,                 1.3486,                  1.259,                0.54665,                0.49474,                0.54148,                 0.4114,                 1.1019,                 1.5097,                 1.7674,              0.0028225,              0.0028225,              0.0028225
                     60,                0.77592,                 1.2824,                 1.2416,                0.57059,                0.48586,                0.53033,                0.39648,                 1.0781,                 1.4931,                 1.7657,              0.0026987,              0.0026987,              0.0026987
                     61,                 0.7859,                 1.3485,                 1.2598,                0.47302,                0.51582,                0.49978,                 0.3958,                 1.0647,                 1.5649,                 1.7897,               0.002575,               0.002575,               0.002575
                     62,                0.77646,                 1.2954,                 1.2217,                0.63457,                0.44725,                0.53036,                0.40292,                 1.0964,                 1.6002,                 1.8083,              0.0024513,              0.0024513,              0.0024513
                     63,                0.77996,                 1.3155,                 1.2395,                0.53248,                0.53163,                0.55783,                0.43863,                  1.071,                 1.4889,                 1.7398,              0.0023275,              0.0023275,              0.0023275
                     64,                0.78234,                 1.2697,                 1.2322,                  0.588,                0.52941,                0.56673,                0.44696,                 1.0478,                 1.4745,                 1.7338,              0.0022038,              0.0022038,              0.0022038
                     65,                 0.7786,                 1.2114,                 1.2295,                0.54486,                0.56882,                0.54945,                0.42448,                 1.0801,                 1.5952,                 1.7464,                0.00208,                0.00208,                0.00208
                     66,                0.76899,                  1.249,                 1.2247,                0.47817,                 0.5978,                0.52253,                0.40228,                 1.0597,                   1.62,                 1.7405,              0.0019563,              0.0019563,              0.0019563
                     67,                0.71833,                 1.1986,                 1.2037,                0.75573,                0.42998,                0.55644,                0.41663,                 1.0384,                  1.528,                 1.7526,              0.0018325,              0.0018325,              0.0018325
                     68,                0.73706,                  1.217,                 1.2117,                0.68106,                0.46571,                0.54025,                 0.3836,                 1.0822,                 1.6386,                 1.7675,              0.0017087,              0.0017087,              0.0017087
                     69,                0.74574,                 1.2099,                 1.2178,                0.49299,                0.55023,                0.53572,                0.40808,                 1.1043,                 1.5502,                 1.8108,               0.001585,               0.001585,               0.001585
                     70,                0.66261,                 1.3917,                 1.2439,                0.55406,                0.45483,                0.52315,                0.40474,                 1.1006,                 1.6897,                 1.7933,              0.0014612,              0.0014612,              0.0014612
                     71,                0.65866,                 1.3828,                  1.245,                0.65501,                0.49791,                0.55456,                0.41621,                 1.0964,                  1.513,                 1.8368,              0.0013375,              0.0013375,              0.0013375
                     72,                0.62308,                 1.3358,                 1.2229,                0.62207,                0.54194,                0.57999,                0.43227,                 1.0943,                 1.5093,                 1.8217,              0.0012138,              0.0012138,              0.0012138
                     73,                0.59274,                  1.252,                 1.1773,                0.71513,                0.49212,                 0.5678,                0.42375,                 1.0691,                 1.5166,                 1.7744,                0.00109,                0.00109,                0.00109
                     74,                0.59986,                 1.2623,                 1.1892,                0.63796,                0.59345,                0.62135,                0.44986,                 1.0793,                 1.4857,                 1.7656,             0.00096625,             0.00096625,             0.00096625
                     75,                0.55469,                 1.1729,                 1.1388,                0.61736,                0.58093,                0.61901,                0.45051,                 1.0722,                 1.4738,                 1.7832,              0.0008425,              0.0008425,              0.0008425
                     76,                0.57499,                  1.156,                 1.1612,                0.62068,                0.54269,                0.58959,                0.44561,                 1.0739,                 1.4888,                 1.7818,             0.00071875,             0.00071875,             0.00071875
                     77,                0.56203,                 1.1672,                 1.1803,                0.59916,                0.54949,                0.58008,                0.44243,                 1.0681,                 1.5103,                 1.7805,               0.000595,               0.000595,               0.000595
                     78,                0.55354,                 1.1689,                  1.156,                0.62727,                0.55634,                0.58701,                0.45768,                 1.0575,                 1.5081,                 1.7708,             0.00047125,             0.00047125,             0.00047125
                     79,                 0.5618,                 1.1352,                 1.1497,                0.61451,                0.56497,                 0.5893,                0.45639,                 1.0421,                 1.4397,                 1.7557,              0.0003475,              0.0003475,              0.0003475
