                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0987,                 4.3077,                 1.5493,                      0,                      0,                      0,                      0,                0.81134,                  4.319,                 1.5728,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.0324,                  4.119,                 1.4929,                0.00545,                0.21271,                0.03759,                 0.0271,                0.87289,                 4.1454,                 1.5899,               0.059444,              0.0044443,              0.0044443
                      2,                 1.0177,                 3.8842,                 1.4683,                 0.0203,                 0.4076,                0.07851,                0.05501,                 1.1112,                 4.1038,                 1.8103,               0.038632,              0.0066317,              0.0066317
                      3,                 1.0843,                 3.6412,                 1.4968,                0.35981,                0.20858,                0.05603,                0.03271,                 1.2699,                 3.8958,                 1.9861,               0.017762,              0.0087622,              0.0087622
                      4,                 1.0975,                 3.5316,                 1.5377,                0.72936,                0.06144,                0.07439,                0.03917,                 1.4752,                 3.6685,                 2.3947,               0.009505,               0.009505,               0.009505
                      5,                  1.202,                 3.3371,                  1.612,                0.55146,                0.23798,                0.10843,                 0.0602,                  1.487,                 4.2207,                 2.3973,               0.009505,               0.009505,               0.009505
                      6,                 1.2371,                 3.3276,                 1.6476,                0.59433,                 0.1798,                0.12993,                0.08037,                 1.6393,                  3.952,                 2.9257,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.2528,                  3.252,                 1.6735,                0.52525,                0.20666,                0.14684,                0.09197,                 1.5957,                 3.4708,                  2.682,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.2456,                 3.1114,                 1.6673,                 0.6407,                0.13574,                0.17453,                0.07521,                 2.2838,                 3.8938,                 2.9022,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.2308,                 3.1625,                 1.6347,                0.32605,                0.26831,                0.12811,                0.05838,                 1.7464,                  5.728,                 2.6755,                0.00901,                0.00901,                0.00901
                     10,                 1.2222,                 2.9582,                 1.5869,                0.75531,                0.13095,                0.16171,                0.11339,                 1.4574,                 5.8815,                 2.2919,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.2096,                 2.9591,                 1.6276,                0.73883,                0.09134,                0.09451,                0.05689,                 1.7039,                 5.0192,                  2.427,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.2211,                 2.8774,                 1.6312,                0.96746,                0.05952,                0.17602,                0.09748,                 1.6151,                 4.7571,                 2.2898,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.2438,                 2.8175,                 1.6339,                0.30388,                0.31865,                0.30863,                0.20698,                 1.3103,                 3.7183,                 2.1793,               0.008515,               0.008515,               0.008515
                     14,                 1.1932,                 2.7015,                 1.6146,                0.58168,                0.20187,                0.25602,                0.15796,                 1.4009,                 3.6666,                 2.3232,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.1843,                 2.7094,                 1.5645,                0.20855,                 0.3145,                0.21465,                0.14408,                 1.4022,                 3.7687,                 2.2538,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.1223,                 2.5278,                 1.5077,                 0.5553,                0.21531,                0.24666,                 0.1662,                 1.3824,                 3.0279,                 2.1331,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.1615,                 2.5422,                  1.557,                0.29061,                 0.3122,                0.25233,                 0.1846,                 1.2479,                  3.801,                 2.0938,                0.00802,                0.00802,                0.00802
                     18,                 1.1295,                 2.5663,                 1.5395,                0.66799,                0.29393,                0.34768,                0.22614,                 1.1846,                 3.0494,                 1.9541,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.1728,                 2.5596,                 1.5868,                0.45308,                 0.3386,                0.28476,                0.18537,                  1.505,                 3.1691,                 2.2809,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.1231,                 2.4498,                  1.527,                0.55086,                0.39932,                0.41028,                0.27522,                 1.2938,                 2.5126,                  2.142,              0.0076488,              0.0076488,              0.0076488
                     21,                 1.1266,                 2.4254,                 1.5341,                 0.4299,                 0.3588,                0.34788,                0.24598,                 1.3402,                 2.4684,                 2.2651,               0.007525,               0.007525,               0.007525
                     22,                 1.1013,                 2.3395,                 1.4916,                0.64711,                0.34483,                0.40044,                0.27514,                 1.2898,                 2.3622,                 2.1691,              0.0074013,              0.0074013,              0.0074013
